config_label,bottleneck,input_guard,target_llm,output_guard,config_key,method,stage,count,share,total_iterations_with_stage,local_source,sha256
Config A,IG,Qwen3Guard,GPT-4o-mini,WildGuard,Qwen_Qwen3Guard-Gen-0.6B__gpt-4o-mini__allenai_wildguard,c3a-full-kb,OG,191,0.1189,1606,paper/data/gpu_results_20260505/raw/results/c3a/kb_holdout_config16_full/aggregated_results.json,0f7790dd87c016439a776f0d488b64bcda4924e28e4cb50a57925e5647e4a463
Config A,IG,Qwen3Guard,GPT-4o-mini,WildGuard,Qwen_Qwen3Guard-Gen-0.6B__gpt-4o-mini__allenai_wildguard,c3a-full-kb,PASSED_GUARDS,193,0.1202,1606,paper/data/gpu_results_20260505/raw/results/c3a/kb_holdout_config16_full/aggregated_results.json,0f7790dd87c016439a776f0d488b64bcda4924e28e4cb50a57925e5647e4a463
Config A,IG,Qwen3Guard,GPT-4o-mini,WildGuard,Qwen_Qwen3Guard-Gen-0.6B__gpt-4o-mini__allenai_wildguard,c3a-config-holdout-kb,IG,1179,0.7260,1624,paper/data/gpu_results_20260505/raw/results/c3a/kb_holdout_config16_reduced/aggregated_results.json,8bbda8d7bb3f82bfc0023fd0e76840fb795c17aafdc3a301a7afc7e98411c8ef
Config A,IG,Qwen3Guard,GPT-4o-mini,WildGuard,Qwen_Qwen3Guard-Gen-0.6B__gpt-4o-mini__allenai_wildguard,c3a-config-holdout-kb,LLM,83,0.0511,1624,paper/data/gpu_results_20260505/raw/results/c3a/kb_holdout_config16_reduced/aggregated_results.json,8bbda8d7bb3f82bfc0023fd0e76840fb795c17aafdc3a301a7afc7e98411c8ef
Config A,IG,Qwen3Guard,GPT-4o-mini,WildGuard,Qwen_Qwen3Guard-Gen-0.6B__gpt-4o-mini__allenai_wildguard,c3a-config-holdout-kb,OG,162,0.0998,1624,paper/data/gpu_results_20260505/raw/results/c3a/kb_holdout_config16_reduced/aggregated_results.json,8bbda8d7bb3f82bfc0023fd0e76840fb795c17aafdc3a301a7afc7e98411c8ef
Config A,IG,Qwen3Guard,GPT-4o-mini,WildGuard,Qwen_Qwen3Guard-Gen-0.6B__gpt-4o-mini__allenai_wildguard,c3a-config-holdout-kb,PASSED_GUARDS,200,0.1232,1624,paper/data/gpu_results_20260505/raw/results/c3a/kb_holdout_config16_reduced/aggregated_results.json,8bbda8d7bb3f82bfc0023fd0e76840fb795c17aafdc3a301a7afc7e98411c8ef
Config B,LLM,ShieldGemma,Phi-4,LlamaGuard3,google_shieldgemma-2b__microsoft_phi-4__meta-llama_Llama-Guard-3-8B,direct,IG,35,0.3500,100,paper/data/gpu_results_20260505/raw/results/c3a/part2_bc_full_20260503/aggregated_results.json,73cd1d08150ea67ce2463f819737786434867a32f5f16495e5ed9f0a8c465fd9
Config B,LLM,ShieldGemma,Phi-4,LlamaGuard3,google_shieldgemma-2b__microsoft_phi-4__meta-llama_Llama-Guard-3-8B,direct,LLM,57,0.5700,100,paper/data/gpu_results_20260505/raw/results/c3a/part2_bc_full_20260503/aggregated_results.json,73cd1d08150ea67ce2463f819737786434867a32f5f16495e5ed9f0a8c465fd9
Config B,LLM,ShieldGemma,Phi-4,LlamaGuard3,google_shieldgemma-2b__microsoft_phi-4__meta-llama_Llama-Guard-3-8B,direct,OG,1,0.0100,100,paper/data/gpu_results_20260505/raw/results/c3a/part2_bc_full_20260503/aggregated_results.json,73cd1d08150ea67ce2463f819737786434867a32f5f16495e5ed9f0a8c465fd9
Config B,LLM,ShieldGemma,Phi-4,LlamaGuard3,google_shieldgemma-2b__microsoft_phi-4__meta-llama_Llama-Guard-3-8B,direct,PASSED_GUARDS,7,0.0700,100,paper/data/gpu_results_20260505/raw/results/c3a/part2_bc_full_20260503/aggregated_results.json,73cd1d08150ea67ce2463f819737786434867a32f5f16495e5ed9f0a8c465fd9
Config B,LLM,ShieldGemma,Phi-4,LlamaGuard3,google_shieldgemma-2b__microsoft_phi-4__meta-llama_Llama-Guard-3-8B,pair,IG,34,0.0213,1595,paper/data/gpu_results_20260505/raw/results/c3a/part2_bc_full_20260503/aggregated_results.json,73cd1d08150ea67ce2463f819737786434867a32f5f16495e5ed9f0a8c465fd9
Config B,LLM,ShieldGemma,Phi-4,LlamaGuard3,google_shieldgemma-2b__microsoft_phi-4__meta-llama_Llama-Guard-3-8B,pair,LLM,962,0.6031,1595,paper/data/gpu_results_20260505/raw/results/c3a/part2_bc_full_20260503/aggregated_results.json,73cd1d08150ea67ce2463f819737786434867a32f5f16495e5ed9f0a8c465fd9
Config B,LLM,ShieldGemma,Phi-4,LlamaGuard3,google_shieldgemma-2b__microsoft_phi-4__meta-llama_Llama-Guard-3-8B,pair,OG,8,0.0050,1595,paper/data/gpu_results_20260505/raw/results/c3a/part2_bc_full_20260503/aggregated_results.json,73cd1d08150ea67ce2463f819737786434867a32f5f16495e5ed9f0a8c465fd9
Config B,LLM,ShieldGemma,Phi-4,LlamaGuard3,google_shieldgemma-2b__microsoft_phi-4__meta-llama_Llama-Guard-3-8B,pair,PASSED_GUARDS,591,0.3705,1595,paper/data/gpu_results_20260505/raw/results/c3a/part2_bc_full_20260503/aggregated_results.json,73cd1d08150ea67ce2463f819737786434867a32f5f16495e5ed9f0a8c465fd9
Config B,LLM,ShieldGemma,Phi-4,LlamaGuard3,google_shieldgemma-2b__microsoft_phi-4__meta-llama_Llama-Guard-3-8B,c3a-nokb,IG,60,0.0355,1692,paper/data/gpu_results_20260505/raw/results/c3a/part2_bc_full_20260503/aggregated_results.json,73cd1d08150ea67ce2463f819737786434867a32f5f16495e5ed9f0a8c465fd9
Config B,LLM,ShieldGemma,Phi-4,LlamaGuard3,google_shieldgemma-2b__microsoft_phi-4__meta-llama_Llama-Guard-3-8B,c3a-nokb,LLM,750,0.4433,1692,paper/data/gpu_results_20260505/raw/results/c3a/part2_bc_full_20260503/aggregated_results.json,73cd1d08150ea67ce2463f819737786434867a32f5f16495e5ed9f0a8c465fd9
Config B,LLM,ShieldGemma,Phi-4,LlamaGuard3,google_shieldgemma-2b__microsoft_phi-4__meta-llama_Llama-Guard-3-8B,c3a-nokb,OG,8,0.0047,1692,paper/data/gpu_results_20260505/raw/results/c3a/part2_bc_full_20260503/aggregated_results.json,73cd1d08150ea67ce2463f819737786434867a32f5f16495e5ed9f0a8c465fd9
Config B,LLM,ShieldGemma,Phi-4,LlamaGuard3,google_shieldgemma-2b__microsoft_phi-4__meta-llama_Llama-Guard-3-8B,c3a-nokb,PASSED_GUARDS,874,0.5165,1692,paper/data/gpu_results_20260505/raw/results/c3a/part2_bc_full_20260503/aggregated_results.json,73cd1d08150ea67ce2463f819737786434867a32f5f16495e5ed9f0a8c465fd9
Config B,LLM,ShieldGemma,Phi-4,LlamaGuard3,google_shieldgemma-2b__microsoft_phi-4__meta-llama_Llama-Guard-3-8B,c3a-full-kb,IG,195,0.1648,1183,paper/data/gpu_results_20260505/raw/results/c3a/part2_bc_full_20260503/aggregated_results.json,73cd1d08150ea67ce2463f819737786434867a32f5f16495e5ed9f0a8c465fd9
Config B,LLM,ShieldGemma,Phi-4,LlamaGuard3,google_shieldgemma-2b__microsoft_phi-4__meta-llama_Llama-Guard-3-8B,c3a-full-kb,LLM,680,0.5748,1183,paper/data/gpu_results_20260505/raw/results/c3a/part2_bc_full_20260503/aggregated_results.json,73cd1d08150ea67ce2463f819737786434867a32f5f16495e5ed9f0a8c465fd9
Config B,LLM,ShieldGemma,Phi-4,LlamaGuard3,google_shieldgemma-2b__microsoft_phi-4__meta-llama_Llama-Guard-3-8B,c3a-full-kb,OG,24,0.0203,1183,paper/data/gpu_results_20260505/raw/results/c3a/part2_bc_full_20260503/aggregated_results.json,73cd1d08150ea67ce2463f819737786434867a32f5f16495e5ed9f0a8c465fd9
Config B,LLM,ShieldGemma,Phi-4,LlamaGuard3,google_shieldgemma-2b__microsoft_phi-4__meta-llama_Llama-Guard-3-8B,c3a-full-kb,PASSED_GUARDS,284,0.2401,1183,paper/data/gpu_results_20260505/raw/results/c3a/part2_bc_full_20260503/aggregated_results.json,73cd1d08150ea67ce2463f819737786434867a32f5f16495e5ed9f0a8c465fd9
Config C,OG,Qwen3Guard,Ministral-8B,WildGuard,Qwen_Qwen3Guard-Gen-0.6B__mistralai_Ministral-8B-Instruct-2410__allenai_wildguard,direct,IG,96,0.9600,100,paper/data/gpu_results_20260505/raw/results/c3a/part2_bc_full_20260503/aggregated_results.json,73cd1d08150ea67ce2463f819737786434867a32f5f16495e5ed9f0a8c465fd9
Config C,OG,Qwen3Guard,Ministral-8B,WildGuard,Qwen_Qwen3Guard-Gen-0.6B__mistralai_Ministral-8B-Instruct-2410__allenai_wildguard,direct,LLM,1,0.0100,100,paper/data/gpu_results_20260505/raw/results/c3a/part2_bc_full_20260503/aggregated_results.json,73cd1d08150ea67ce2463f819737786434867a32f5f16495e5ed9f0a8c465fd9
Config C,OG,Qwen3Guard,Ministral-8B,WildGuard,Qwen_Qwen3Guard-Gen-0.6B__mistralai_Ministral-8B-Instruct-2410__allenai_wildguard,direct,OG,3,0.0300,100,paper/data/gpu_results_20260505/raw/results/c3a/part2_bc_full_20260503/aggregated_results.json,73cd1d08150ea67ce2463f819737786434867a32f5f16495e5ed9f0a8c465fd9
Config C,OG,Qwen3Guard,Ministral-8B,WildGuard,Qwen_Qwen3Guard-Gen-0.6B__mistralai_Ministral-8B-Instruct-2410__allenai_wildguard,direct,PASSED_GUARDS,0,0.0000,100,paper/data/gpu_results_20260505/raw/results/c3a/part2_bc_full_20260503/aggregated_results.json,73cd1d08150ea67ce2463f819737786434867a32f5f16495e5ed9f0a8c465fd9
Config C,OG,Qwen3Guard,Ministral-8B,WildGuard,Qwen_Qwen3Guard-Gen-0.6B__mistralai_Ministral-8B-Instruct-2410__allenai_wildguard,pair,IG,425,0.3215,1322,paper/data/gpu_results_20260505/raw/results/c3a/part2_bc_full_20260503/aggregated_results.json,73cd1d08150ea67ce2463f819737786434867a32f5f16495e5ed9f0a8c465fd9
Config C,OG,Qwen3Guard,Ministral-8B,WildGuard,Qwen_Qwen3Guard-Gen-0.6B__mistralai_Ministral-8B-Instruct-2410__allenai_wildguard,pair,LLM,191,0.1445,1322,paper/data/gpu_results_20260505/raw/results/c3a/part2_bc_full_20260503/aggregated_results.json,73cd1d08150ea67ce2463f819737786434867a32f5f16495e5ed9f0a8c465fd9
Config C,OG,Qwen3Guard,Ministral-8B,WildGuard,Qwen_Qwen3Guard-Gen-0.6B__mistralai_Ministral-8B-Instruct-2410__allenai_wildguard,pair,OG,159,0.1203,1322,paper/data/gpu_results_20260505/raw/results/c3a/part2_bc_full_20260503/aggregated_results.json,73cd1d08150ea67ce2463f819737786434867a32f5f16495e5ed9f0a8c465fd9
Config C,OG,Qwen3Guard,Ministral-8B,WildGuard,Qwen_Qwen3Guard-Gen-0.6B__mistralai_Ministral-8B-Instruct-2410__allenai_wildguard,pair,PASSED_GUARDS,547,0.4138,1322,paper/data/gpu_results_20260505/raw/results/c3a/part2_bc_full_20260503/aggregated_results.json,73cd1d08150ea67ce2463f819737786434867a32f5f16495e5ed9f0a8c465fd9
Config C,OG,Qwen3Guard,Ministral-8B,WildGuard,Qwen_Qwen3Guard-Gen-0.6B__mistralai_Ministral-8B-Instruct-2410__allenai_wildguard,c3a-nokb,IG,136,0.0846,1608,paper/data/gpu_results_20260505/raw/results/c3a/part2_bc_full_20260503/aggregated_results.json,73cd1d08150ea67ce2463f819737786434867a32f5f16495e5ed9f0a8c465fd9
Config C,OG,Qwen3Guard,Ministral-8B,WildGuard,Qwen_Qwen3Guard-Gen-0.6B__mistralai_Ministral-8B-Instruct-2410__allenai_wildguard,c3a-nokb,LLM,237,0.1474,1608,paper/data/gpu_results_20260505/raw/results/c3a/part2_bc_full_20260503/aggregated_results.json,73cd1d08150ea67ce2463f819737786434867a32f5f16495e5ed9f0a8c465fd9
Config C,OG,Qwen3Guard,Ministral-8B,WildGuard,Qwen_Qwen3Guard-Gen-0.6B__mistralai_Ministral-8B-Instruct-2410__allenai_wildguard,c3a-nokb,OG,175,0.1088,1608,paper/data/gpu_results_20260505/raw/results/c3a/part2_bc_full_20260503/aggregated_results.json,73cd1d08150ea67ce2463f819737786434867a32f5f16495e5ed9f0a8c465fd9
Config C,OG,Qwen3Guard,Ministral-8B,WildGuard,Qwen_Qwen3Guard-Gen-0.6B__mistralai_Ministral-8B-Instruct-2410__allenai_wildguard,c3a-nokb,PASSED_GUARDS,1060,0.6592,1608,paper/data/gpu_results_20260505/raw/results/c3a/part2_bc_full_20260503/aggregated_results.json,73cd1d08150ea67ce2463f819737786434867a32f5f16495e5ed9f0a8c465fd9
Config C,OG,Qwen3Guard,Ministral-8B,WildGuard,Qwen_Qwen3Guard-Gen-0.6B__mistralai_Ministral-8B-Instruct-2410__allenai_wildguard,c3a-full-kb,IG,1129,0.7150,1579,paper/data/gpu_results_20260505/raw/results/c3a/part2_bc_full_20260503/aggregated_results.json,73cd1d08150ea67ce2463f819737786434867a32f5f16495e5ed9f0a8c465fd9
Config C,OG,Qwen3Guard,Ministral-8B,WildGuard,Qwen_Qwen3Guard-Gen-0.6B__mistralai_Ministral-8B-Instruct-2410__allenai_wildguard,c3a-full-kb,LLM,97,0.0614,1579,paper/data/gpu_results_20260505/raw/results/c3a/part2_bc_full_20260503/aggregated_results.json,73cd1d08150ea67ce2463f819737786434867a32f5f16495e5ed9f0a8c465fd9
Config C,OG,Qwen3Guard,Ministral-8B,WildGuard,Qwen_Qwen3Guard-Gen-0.6B__mistralai_Ministral-8B-Instruct-2410__allenai_wildguard,c3a-full-kb,OG,163,0.1032,1579,paper/data/gpu_results_20260505/raw/results/c3a/part2_bc_full_20260503/aggregated_results.json,73cd1d08150ea67ce2463f819737786434867a32f5f16495e5ed9f0a8c465fd9
Config C,OG,Qwen3Guard,Ministral-8B,WildGuard,Qwen_Qwen3Guard-Gen-0.6B__mistralai_Ministral-8B-Instruct-2410__allenai_wildguard,c3a-full-kb,PASSED_GUARDS,190,0.1203,1579,paper/data/gpu_results_20260505/raw/results/c3a/part2_bc_full_20260503/aggregated_results.json,73cd1d08150ea67ce2463f819737786434867a32f5f16495e5ed9f0a8c465fd9
